Row,Company,In PARAT?,HQ country,HQ city,HQ state/province,Website URL,Major presence in countries other than country of HQ,Subsidiarity,Sources
1,[Test] Fake Corporation,,USA,Minneapolis,Minnesota,fakecorp.com,Canada,,
2,[Test] Imaginary Solutions ,,China,Shenzhen,Guangdong,sic.com,Vietnam,,
3,[Test] Xi'an Fake Supply Co,,China,Xi'an,Shaanxi,xiansupply.cn,,Is a subsidiary of Xi'an Consolidated Holdings Ltd.,
5,[Test] Her Majesty's Fictional Company,,United Kingdom,Edinburgh,Scotland,fiction.co.uk,"Canada,Australia",,
6,[Test] Fake Company in PARAT,checked,,,,,,,
292,Intel,checked,USA,Santa Clara,California,https://www.intel.com/content/www/us/en/homepage.html,"Ireland,Israel,Costa Rica,China,Vietnam,Malaysia",,"https://www.intel.com/content/www/us/en/support/contact-intel.html?tab=campus-locations#

https://www.nytimes.com/2022/03/15/technology/intel-factory-germany.html#:~:text=Intel%20now%20has%20factories%20in%20Ireland%20and%20Israel%2C,have%20become%20key%20customers%20for%20chip%20makers.%20Mr.
"
293,AMD,,USA,Santa Clara,California,https://www.amd.com/en,"Europe (various),Asia (various),South America (various),Canada",Qualcomm Acquires Handheld Graphics and Multimedia Assets from AMD,"https://www.amd.com/en/corporate/locations
https://www.amd.com/en/corporate/about-amd
https://en.wikipedia.org/wiki/Advanced_Micro_Devices
"
294,Jingjia Micro,,China,Changsha,Hunan,http://www.jingjiamicro.com,,,http://www.jingjiamicro.com/about/12/1.html
295,Zhaoxin Semiconductor,,China,Shanghai,Shanghai,https://www.zhaoxin.com,,,https://www.zhaoxin.com/gsjj.aspx?nid=1&typeid=1
296,Nvidia,checked,USA,Santa Clara,California,https://www.nvidia.com/en-us/,,,https://www.nvidia.com/en-us/contact/europe/
297,Shenzhen Pango,,China,Shenzhen,Guangdong,https://www.pangomicro.com/index.html,,Subsidiarity of Tsinghua Unigroup (紫光集团),https://www.pangomicro.com/about/introduction/index.html
298,Google,checked,USA,Mountain View,California,https://about.google/,"Brazil,Europe (various),Taiwan,Singapore,Chile",,"https://about.google/intl/en_us/locations
https://design-milk.com/the-new-and-only-google-engineering-center-in-latin-america/ 
https://www.google.com/about/datacenters/locations/ "
301,Cerebras,checked,USA,Sunnyvale,California,https://www.cerebras.net/,"Canada,Japan",,"https://www.cerebras.net/contact/
https://www.cerebras.net/business/cerebras-systems-accelerates-global-expansion-with-new-japan-office-and-appointment-of-hiromasa-ebi-as-country-manager/"
