input_name,input_id,image,caption,credit,offset
Logic chip design: Advanced CPUs,N1,51396070675_1a69e68d4e_k.jpg (https://dl.airtable.com/.attachments/f4da4e10a69efb5506e4a0b4f38df21c/329bb3e1/51396070675_1a69e68d4e_k.jpg),"Aliquam sed ligula posuere, pretium sem non, fermentum sem. ",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51396070675),25
Logic chip design: Discrete GPUs,N2,50914099198_c1e2037e4c_k.jpg (https://dl.airtable.com/.attachments/8a6ea5dea5cb42e69c0852687f1a53a2/2b8d22d0/50914099198_c1e2037e4c_k.jpg),"An Nvidia TU106 GPU, manufactured in Taiwan using a 12 nm production process. This chip is used in Nvidia's popular GeForce graphics cards.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/50914099198/),32
Logic chip design: FPGAs,N3,6526303987_e77da7ebed_o.jpg (https://dl.airtable.com/.attachments/6c3c37e8600afc0b8c875ed27d987c0d/1c62d885/6526303987_e77da7ebed_o.jpg),"Quisque nec est laoreet, scelerisque massa ac, ullamcorper urna. Morbi interdum ipsum non neque feugiat, id congue urna viverra.",Flickr user [Uwe Hermann](https://www.flickr.com/photos/uwehermann/6526303987/) ([CC BY-SA 2.0](https://creativecommons.org/licenses/by-sa/2.0/)),
Logic chip design: AI ASICs,N4,34209801284_6425b91023_o.jpg (https://dl.airtable.com/.attachments/af45325baa33e3de0904bf53b3f63aa3/a270b84c/34209801284_6425b91023_o.jpg),Aenean ullamcorper est non lorem mollis faucibus. Aliquam non dolor luctus arcu cursus imperdiet eu vel leo.,[IBM](https://www.flickr.com/photos/ibm_research_zurich/34209801284/) ([CC BY-ND 2.0](https://creativecommons.org/licenses/by-nd/2.0/)),
Crystal growing furnaces,N8,Si-crystal_floatingzone_growing.jpg (https://dl.airtable.com/.attachments/6298df40101eda9e0aead29e36294b42/6356fec7/Si-crystal_floatingzone_growing.jpg),"Nulla efficitur turpis a bibendum lobortis. Sed sed est varius, vehicula enim quis, laoreet dui.",Wikipedia user [Marathoni62](https://commons.wikimedia.org/wiki/File:Si-crystal_floatingzone_growing.jpg) ([CC BY-SA 3.0](https://creativecommons.org/licenses/by-sa/3.0)),
Crystal machining tools,N9,9788999284_3757d33d81_o_d.jpg (https://dl.airtable.com/.attachments/9960bf42607addd247b742025b0cd0bc/a2d99b69/9788999284_3757d33d81_o_d.jpg),"Aliquam sed ligula posuere, pretium sem non, fermentum sem. ",United States Department of Energy,
Wafer bonding and aligning tools,N10,UC_Davis_Cleanroom_(45490130562).jpg (https://dl.airtable.com/.attachments/01e48f5fbde4b613a047a708f5e74cd8/40193f9b/UC_Davis_Cleanroom_45490130562.jpg),"Donec pretium nisl et lorem aliquam, id vulputate felis ultrices. Maecenas sed justo condimentum, porta neque id, sagittis tellus.","[Lucy Knowles/University of California, Davis](https://commons.wikimedia.org/wiki/File:UC_Davis_Cleanroom_(45490130562).jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0))",
Ion implanters,N17,3524974169_b40b2830e0_o.jpg (https://dl.airtable.com/.attachments/b7ce7fe0b43b7ec925d8d17867aa4f16/9630a831/3524974169_b40b2830e0_o.jpg),In et mi quis augue dignissim egestas. ,[Roy Kaltschmidt/Lawrence Berkeley National Laboratory](https://www.flickr.com/photos/berkeleylab/3524974169) ([CC BY-NC-ND 2.0](https://creativecommons.org/licenses/by-nc-nd/2.0/)),
Advanced photolithography equipment,N19,51430260949_8599ddc51c_k.jpg (https://dl.airtable.com/.attachments/8cafd8715ac0737aecc2d3a794758c39/bd5819b9/51430260949_8599ddc51c_k.jpg),Duis vel metus in justo ornare pellentesque. Quisque et velit id est semper accumsan.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51430260949),
EUV scanners,N20,34209805784_e7f5524baa_o.jpg (https://dl.airtable.com/.attachments/e7ef1c13a609452435d6bea03cf854c9/ad6053e3/34209805784_e7f5524baa_o.jpg),"Suspendisse eget urna sed eros tristique cursus sed eu est. Donec pretium nisl et lorem aliquam, id vulputate felis ultrices.",[Dan Corliss/IBM Research](https://www.flickr.com/photos/ibm_research_zurich/34209805784/) ([CC BY-ND 2.0](https://creativecommons.org/licenses/by-nd/2.0/)),
ArF immersion scanners,N22,51772117816_d21e4c08d3_k.jpg (https://dl.airtable.com/.attachments/f20604d771cb22c07c59d378ca44f94f/75c70e26/51772117816_d21e4c08d3_k.jpg),Quisque et velit id est semper accumsan. Quisque a libero et dolor placerat varius.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51772117816),
Photolithography,N25,Chromium_photomask_(details).JPG (https://dl.airtable.com/.attachments/e0a329fe43fa2766548c9c5f07b22992/c198114d/Chromium_photomask_details.JPG),Ut at libero ut ipsum tempus molestie. ,Wikimedia Commons user [Sei](https://commons.wikimedia.org/wiki/File:Laser_lithography_writing_head_and_table.JPG) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),
Wafer,N26,50368256758_05b476867e_o.jpg (https://dl.airtable.com/.attachments/3bee4da212df690b7895fa1de73d8430/5910275e/50368256758_05b476867e_o.jpg),Phasellus eu lectus sit amet tortor rutrum ultrices nec a urna. ,[Connie Zhou/IBM](https://www.flickr.com/photos/ibm_research_zurich/50368256758/) ([CC BY-ND 2.0](https://creativecommons.org/licenses/by-nd/2.0/)),
Photomask (maskless) lithography equipment,N28,U_S__Department_of_Energy_-_Science_-_390_014_008_(9566483876).jpg (https://dl.airtable.com/.attachments/b16bd4b18f9b01483c941b23dfc9b320/d0599831/U_S__Department_of_Energy_-_Science_-_390_014_008_9566483876.jpg),"Morbi interdum ipsum non neque feugiat, id congue urna viverra. ",United States Department of Energy,
Electron-beam lithography tools,N29,JEOL_Electron_Beam_Lithography_(EBL)_(48539692681).jpg (https://dl.airtable.com/.attachments/3d4ae09ae1eed1230c3f1d147541db51/25ef701a/JEOL_Electron_Beam_Lithography_EBL_48539692681.jpg),"Quisque nec est laoreet, scelerisque massa ac, ullamcorper urna. Morbi interdum ipsum non neque feugiat, id congue urna viverra.",[Simon Fraser University](https://commons.wikimedia.org/wiki/File:JEOL_Electron_Beam_Lithography_(EBL)_(48539692681).jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0)),
Laser lithography tools,N30,2560px-Laser_lithography_writing_head_and_table.JPG (https://dl.airtable.com/.attachments/75ee5c30e2d6ac5568e0546c76df2862/5d430ba0/2560px-Laser_lithography_writing_head_and_table.JPG),Aenean ullamcorper est non lorem mollis faucibus. Aliquam non dolor luctus arcu cursus imperdiet eu vel leo.,Wikimedia Commons user [Sei](https://commons.wikimedia.org/wiki/File:Laser_lithography_writing_head_and_table.JPG) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),
Photoresists,N31,Photoresist_spin_coating.jpg (https://dl.airtable.com/.attachments/1ce8e5f59edeb941766a20f1735d8663/c2d6709e/Photoresist_spin_coating.jpg),"Nulla efficitur turpis a bibendum lobortis. Sed sed est varius, vehicula enim quis, laoreet dui.",Wikimedia Commons user [Sei](https://commons.wikimedia.org/wiki/File:Photoresist_spin_coating.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),
Advanced photomasks,N33,Semiconductor_photomask.jpg (https://dl.airtable.com/.attachments/55059fe4c4ccc49ae11999d9dda3a09b/c77e62ff/Semiconductor_photomask.jpg),"Donec pretium nisl et lorem aliquam, id vulputate felis ultrices. Maecenas sed justo condimentum, porta neque id, sagittis tellus.",Wikimedia Commons user [Peellden](https://commons.wikimedia.org/wiki/File:Semiconductor_photomask.jpg) ([CC BY-SA 3.0](https://creativecommons.org/licenses/by-sa/3.0)),
Deposition,N35,PICT0111.JPG (https://dl.airtable.com/.attachments/b81b6e255cc8660e9d59c8cc22ad60d8/b8454bbd/PICT0111.JPG),"Phasellus eu lectus sit amet tortor rutrum ultrices nec a urna. Nullam id libero gravida, posuere ante bibendum, convallis neque.",Wikipedia user [polyparadigm](https://commons.wikimedia.org/wiki/File:PICT0111.JPG),
Deposition tools,N36,chamber_h.jpg (https://dl.airtable.com/.attachments/becf90cf204aa10249b973ba91f3a6d2/739ae5e2/chamber_h.jpg),"Morbi interdum ipsum non neque feugiat, id congue urna viverra. Suspendisse eget urna sed eros tristique cursus sed eu est.",Wayne L. Gladfelter/National Science Foundation,
Plasma CVD tools,N38,pecvd.jpg (https://dl.airtable.com/.attachments/9f904f42fbf3d4941c9c0c099cdad33a/9ef92988/pecvd.jpg),In et mi quis augue dignissim egestas. ,NIST,
High-temperature CVD tools,N40,2560px-Chemical_Vapor_Deposition_Setup.jpg (https://dl.airtable.com/.attachments/a3e0b604afa73379c567bef6271d07e7/58fef5c9/2560px-Chemical_Vapor_Deposition_Setup.jpg),"Suspendisse eget urna sed eros tristique cursus sed eu est. Donec pretium nisl et lorem aliquam, id vulputate felis ultrices.",Wikimedia Commons user [Aksy88](https://commons.wikimedia.org/wiki/File:Chemical_Vapor_Deposition_Setup.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),
Atomic layer deposition tools,N41,Goddard_Technologist_Vivek_Dwivedi_(8051292351).jpg (https://dl.airtable.com/.attachments/8ed53db1d49578673245a06e63f44f26/e519a9be/Goddard_Technologist_Vivek_Dwivedi_8051292351.jpg),"Aliquam sed ligula posuere, pretium sem non, fermentum sem. Proin ut risus semper, varius orci vitae, interdum felis.",[Chris Gunn/NASA Goddard Space Flight Center](https://commons.wikimedia.org/wiki/File:Goddard_Technologist_Vivek_Dwivedi_(8051292351).jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0)),
Physical vapor deposition tools,N42,Au_sputtering_light.JPG (https://dl.airtable.com/.attachments/cb567c5b66d1f6fe0b05ab9f8cc85540/7a53fb4e/Au_sputtering_light.JPG),Quisque et velit id est semper accumsan. Quisque a libero et dolor placerat varius.,Wikimedia Commons user [GcG](https://commons.wikimedia.org/wiki/File:Au_sputtering_light.JPG),
Etch and clean,N46,Dry_etching_test_strucutres.jpg (https://dl.airtable.com/.attachments/04e3b9ce59f9a22aabb4d3b1c94c90eb/d23f2696/Dry_etching_test_strucutres.jpg),"Quisque nec est laoreet, scelerisque massa ac, ullamcorper urna. Morbi interdum ipsum non neque feugiat, id congue urna viverra.",Wikimedia Commons user [Mgerit](https://commons.wikimedia.org/wiki/File:Dry_etching_test_strucutres.jpg) ([CC BY 4.0](https://creativecommons.org/licenses/by/4.0)),
Etching and cleaning tools,N55,Etch_depth.jpg (https://dl.airtable.com/.attachments/96f35323235bf403a3d7aa66b8130c56/12a552ab/Etch_depth.jpg),Aenean ullamcorper est non lorem mollis faucibus. Aliquam non dolor luctus arcu cursus imperdiet eu vel leo.,Wikimedia Commons user [Mgerit](https://commons.wikimedia.org/wiki/File:Etch_depth.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),
Chemical mechanical planarization,N57,50914098903_e113113b94_k.jpg (https://dl.airtable.com/.attachments/7e19be6dad7b6759ea20dd495ab2d3a5/3a0b6629/50914098903_e113113b94_k.jpg),"Nulla efficitur turpis a bibendum lobortis. Sed sed est varius, vehicula enim quis, laoreet dui.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/50914098903/),
Process control,N60,52193038285_c2cec7c12c_k.jpg (https://dl.airtable.com/.attachments/e055961d12c00e8e211ce738be8d85cf/eea0fb38/52193038285_c2cec7c12c_k.jpg),"Aliquam sed ligula posuere, pretium sem non, fermentum sem. ",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/52193038285/),
Wafer inspection equipment,N61,UC_Davis_Cleanroom_(45490135442).jpg (https://dl.airtable.com/.attachments/e879e5dc1fe1cb422f53a248db4faf93/f22f892a/UC_Davis_Cleanroom_45490135442.jpg),"Donec pretium nisl et lorem aliquam, id vulputate felis ultrices. Maecenas sed justo condimentum, porta neque id, sagittis tellus.","[Lucy Knowles/University of California, Davis](https://commons.wikimedia.org/wiki/File:UC_Davis_Cleanroom_(45490135442).jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0))",
Film and wafer measuring tools,N65,Ellipsometrie.jpg (https://dl.airtable.com/.attachments/2e61424fcc7b4cde068f153184fafa66/48bf87f0/Ellipsometrie.jpg),"Phasellus eu lectus sit amet tortor rutrum ultrices nec a urna. Nullam id libero gravida, posuere ante bibendum, convallis neque.",Wikimedia Commons user [Jule](https://commons.wikimedia.org/wiki/File:Ellipsometrie.jpg),
Critical dimensions measurement tools,N66,Supra_VP_(6908585171).jpg (https://dl.airtable.com/.attachments/03108324ad90075d114b6696b0cec9ef/92b449d3/Supra_VP_6908585171.jpg),"Morbi interdum ipsum non neque feugiat, id congue urna viverra. Suspendisse eget urna sed eros tristique cursus sed eu est.",[Zeiss Microscopy](https://commons.wikimedia.org/wiki/File:Supra_VP_(6908585171).jpg) ([CC BY-SA 2.0](https://creativecommons.org/licenses/by-sa/2.0)),
Defect inspection tools,N67,Fotograf-Pelle-Sten-17.jpg (https://dl.airtable.com/.attachments/778f45affe752652cc4404ef7ec8b120/70eb42d4/Fotograf-Pelle-Sten-17.jpg),In et mi quis augue dignissim egestas. ,[Pelle Sten/Riksantikvarieämbetet](https://commons.wikimedia.org/wiki/File:SEM-microscope_Riksantikvarie%C3%A4mbetet.jpg) ([CC BY 4.0](https://creativecommons.org/licenses/by/4.0)),
General-purpose microscopy tools,N68,2560px-Environmental_Transmission_Electron_Microscope.jpg (https://dl.airtable.com/.attachments/fa3bc53d38224592907063e446348d0b/5ef1c868/2560px-Environmental_Transmission_Electron_Microscope.jpg),Duis vel metus in justo ornare pellentesque. Quisque et velit id est semper accumsan.,Wikimedia Commons user [Reneegas1](https://commons.wikimedia.org/wiki/File:Environmental_Transmission_Electron_Microscope.jpg) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),
Assembly and packaging,N69,24573702486_f85c6626b8_k.jpg (https://dl.airtable.com/.attachments/a13f7939ae21920013a7d36251fcedfd/2c32201c/24573702486_f85c6626b8_k.jpg),"Suspendisse eget urna sed eros tristique cursus sed eu est. Donec pretium nisl et lorem aliquam, id vulputate felis ultrices.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/24573702486/),
Dicing tools,N71,A_semiconductor_wafer_on_a_dicing_(blue)_tape__Few_chips_(dies)_from_the_wafer_have_already_been_picked_up_(removed)_for_further_manufacturing.png (https://dl.airtable.com/.attachments/d10c796dfb85ee6691bc729cdff5b850/37801e8e/A_semiconductor_wafer_on_a_dicing_blue_tape__Few_chips_dies_from_the_wafer_have_already_been_picked_up_removed_for_further_manufacturing.png),"Aliquam sed ligula posuere, pretium sem non, fermentum sem. Proin ut risus semper, varius orci vitae, interdum felis.",Wikimedia Commons user [Khpsoi](https://commons.wikimedia.org/wiki/File:A_semiconductor_wafer_on_a_dicing_(blue)_tape._Few_chips_(dies)_from_the_wafer_have_already_been_picked_up_(removed)_for_further_manufacturing.png) ([CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)),
Packaging tools,N76,50134633916_7ba66988ad_k.jpg (https://dl.airtable.com/.attachments/ed945d850274e7cd1779e53d7c187bbf/b6ec2701/50134633916_7ba66988ad_k.jpg),Quisque et velit id est semper accumsan. Quisque a libero et dolor placerat varius.,Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/50134633916/),
Testing,N78,Wire_Bonders_(K&S_4123_and_4700)_-_Quantum_Systems_and_Nanomaterials_fabrication_facilities_-_University_of_Exeter_-_May_2012.jpg (https://dl.airtable.com/.attachments/43a313feca5adf050f73ed83867bd917/0ce95074/Wire_Bonders_KS_4123_and_4700_-_Quantum_Systems_and_Nanomaterials_fabrication_facilities_-_University_of_Exeter_-_May_2012.jpg),Ut at libero ut ipsum tempus molestie. ,[University of Exeter](https://commons.wikimedia.org/wiki/File:Wire_Bonders_(K%26S_4123_and_4700)_-_Quantum_Systems_and_Nanomaterials_fabrication_facilities_-_University_of_Exeter_-_May_2012.jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0)),
