input_id,input_name,type,stage_name,stage_id,description,year,market_share_chart_global_market_size_info,market_share_chart_caption,market_share_chart_source
N0,Chip design,process,Design,S1,"Chip design involves specification, logic design, physical design, and validation and verification. Specification determines how the chip should operate in the system using it. Logic design creates a schematic model of interconnected electrical components. Physical design translates this model to a physical layout of electrical components and interconnects, the wires that connect components. Validation and verification ensure chips based on the design will operate as expected.",2022,$574.1 billion (2022),,Worldwide semiconductor sales. [World Semiconductor Trade Statistics (WSTS)](https://perma.cc/Y773-9T3A) and [Semiconductor Industry Association (SIA)](https://perma.cc/MPN9-W8YS).
N6,Logic chip design,design_resource,,,"Logic chip design is the design of integrated circuits that perform digital computation. Based on World Semiconductor Trade Statistics (WSTS) and Semiconductor Industry Association (SIA) market segmentation, this category includes the following device categories: logic, microprocessor (MPU), microcontroller (MCU), digital signal processor (DSP).",2022,$255.7 billion (2022),,"Worldwide semiconductor sales for logic and micro (MPU, MCU, and DSP) product [segments](https://perma.cc/UH5R-G63P). [World Semiconductor Trade Statistics (WSTS)](https://perma.cc/Y773-9T3A) and [Semiconductor Industry Association (SIA)](https://perma.cc/MPN9-W8YS)."
N1,Advanced CPUs,design_resource,,,"Central processing units (""CPUs"") are the dominant general purpose logic chips. Two U.S. firms, Intel and AMD, have long held a duopoly over CPUs used for laptops, desktops, and servers. (China has several ventures, though none are competitive with U.S. firms.) CPUs are often classified into ""nodes,"" which represent technology generations: a chip at a new node (e.g., ""5 nm‚"" released in 2020) contains approximately double the transistor density as a previous node (e.g., ""7 nm‚"" released in 2018) and is also more cost-effective.",2019,$56.2 billion (microprocessors) (2019),,"[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/) (citing SIA, IC Insights, TrendForce, financial statements)"
N2,Discrete GPUs,design_resource,,,"Discrete graphics processing units (""GPUs"") have long been used for graphics processing (for example, in video game consoles) and in the last decade have become the most used chip for training artificial intelligence algorithms. The United States monopolizes the design market for GPUs, including standalone ""discrete GPUs,"" the most powerful GPUs.",2019,$11.9 billion (2019),,"[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/) (citing SIA, IC Insights, TrendForce, financial statements)"
N3,FPGAs,design_resource,,,"Field-programmable gate arrays (""FPGAs""), unlike other chips, can be reprogrammed after deployment to suit specific calculations, such as executing particular algorithms. U.S. firms capture virtually the entire FPGA design market.",2019,$5.7 billion (2019),,"[CSET](https://cset.georgetown.edu/publication/the-semiconductor-supply-chain/) (citing SIA, IC Insights, TrendForce, financial statements)"
N4,AI ASICs,design_resource,,,"Application-specific integrated circuits for artificial intelligence (""AI ASICs""), a rapidly growing category of logic chips, often achieve greater speed and efficiency for artificial intelligence than GPUs and FPGAs, but are usable only for specific algorithms. ASICs can be easier to design than CPUs, GPUs, and FPGAs, opening the field to a wide range of design startups, including in China. Still, few highly specialized ASICs have been widely commercialized, as their markets are often too small for recouping fixed development costs.",,,,
N5,Memory chip design,design_resource,,,"Memory chip design is the design of integrated circuits that store digital information, including both DRAM and NAND memory technologies. Memory designers also fabricate their designs, making them integrated device manufacturers (IDMs). Major memory design players include Micron, Samsung, and SK Hynix.",2022,$129.8 billion (2022),,Worldwide semiconductor sales for memory product [segment](https://perma.cc/UH5R-G63P). [World Semiconductor Trade Statistics (WSTS)](https://perma.cc/Y773-9T3A) and [Semiconductor Industry Association (SIA)](https://perma.cc/MPN9-W8YS).
N13,DAO chip design,design_resource,,,"Discrete, Analog, and Other (DAO) semiconductors include discrete, analog, sensor, and optoelectronic devices. These designs typically utilize mature process nodes (28nm and above) and are essential for a wide range of applications including power management, signal processing, and sensor interfaces in automotive, industrial, and consumer electronics sectors.",2022,$188.7 billion (2022),,"Worldwide semiconductor sales for discrete, analog, sensor, and optoelectronic product [segments](https://perma.cc/UH5R-G63P). [World Semiconductor Trade Statistics (WSTS)](https://perma.cc/Y773-9T3A) and [Semiconductor Industry Association (SIA)](https://perma.cc/MPN9-W8YS)."
N7,EDA and Core IP,process,Design,S1,"Electronic design automation (EDA) software: Until the 1970s, when chips included few electric components, engineers drew designs manually. Today, chips include billions of interconnected transistors and other electrical components. To manage this complexity, chip designers use sophisticated electronic design automation (EDA) software to produce chip designs.

Core intellectual property: Core IP consists of reusable, modular design blocks that chip design firms license for use in their designs. U.S. and U.K. vendors dominate the core IP market; some firms specialize exclusively on core IP, while others combine their offerings with EDA tools. The company ARM is the top core IP vendor, providing an instruction set architecture (ISA) and associated core IP underpinning most of the world's smartphone processors.",2019,,,
N8,Crystal growing furnaces,tool_resource,,,"Crystal growing furnaces and machining tools are necessary to produce all wafers-thin, disc-shaped materials fabs used to produce chips. The furnace forms a cylindrical ingot of silicon from polycrystalline raw silicon; machining equipment then cuts the ingot into wafers used for chip fabrication. These tools have relatively low value and complexity relative to other semiconductor manufacturing equipment. Japan, Germany, and Switzerland are the main producers.",2022,$44 million (2022),,"CSET analysis of TechInsights data (2022). Data used for analysis were published by TechInsights on May 5, 2025."
N9,Crystal machining tools,tool_resource,,,"Crystal growing furnaces and machining tools are necessary to produce all wafers-thin, disc-shaped materials fabs used to produce chips. The furnace forms a cylindrical ingot of silicon from polycrystalline raw silicon; machining equipment then cuts the ingot into wafers used for chip fabrication. These tools have relatively low value and complexity relative to other semiconductor manufacturing equipment.",2024,$312.3 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N10,Wafer bonding and aligning tools,tool_resource,,,"Wafer bonders and aligners join silicon wafers. In this visualization, these fabrication tools are included as an input to advanced packaging, but they may also be used earlier in the production process. Austria, Japan, and Germany produce this equipment.",2024,$520.9 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N11,Wafer handlers,tool_resource,,,"Wafer and photomask handlers store and transport wafers and photomasks in a fab. Japan, the United States, South Korea, Taiwan, and France produce these relatively less complex tools.",2024,$2.3 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N12,Photomask handlers,tool_resource,,,"Wafer and photomask handlers store and transport wafers and photomasks in a fab. Japan, South Korea, Taiwan, and France produce these relatively less complex tools.",2024,$100.3 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N16,Ion implantation,process,Fabrication,S2,"Ion implanters embed dopant substances into silicon wafers to give different parts of the wafer different levels of semiconductivity to make functional transistors in chips. Different types of implanters are used for different purposes. Low-to-medium-current ion implanters and high-current ion implanters are most commonly used, with high-current ion implanters capable of greater throughput. Meanwhile, high-voltage ion implanters can implant ions deeply into silicon, and ultra-high-dose doping implanters can achieve greater dopant density than the other tools. The United States is the dominant producer of ion implanters, with Japan and Taiwan rounding out most of global market share.",,,,
N17,Ion implanters,tool_resource,,,"Ion implanters embed dopant substances into silicon wafers to give different parts of the wafer different levels of semiconductivity to make functional transistors in chips. Different types of implanters are used for different purposes. Low-to-medium-current ion implanters and high-current ion implanters are most commonly used, with high-current ion implanters capable of greater throughput. Meanwhile, high-voltage ion implanters can implant ions deeply into silicon, and ultra-high-dose doping implanters can achieve greater dopant density than the other tools. The United States is the dominant producer of ion implanters, with Japan and Taiwan rounding out most of global market share.",2024,$3.5 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N19,Lithography tools,tool_resource,,,"The Netherlands, Japan, and a small number of other countries are the dominant producers of lithography equipment, critical for the production of chips and photomasks. In particular, the Netherlands and Japan are exclusive providers of advanced photolithography scanners, necessary for mass-production of advanced chips.

Photolithography scanners use ultraviolet light to draw intricate, nanoscale patterns into semiconductor wafers, creating the billions of tiny circuits contained in a single advanced logic chip. An extreme ultraviolet (EUV) scanner refracts a beam of 13.5 nm ultraviolet light through a photomask, transferring that pattern to a photoresist chemical applied as a layer on the chip. The light dissolves parts of the photoresist in the circuit pattern. The newly created photoresist pattern is etched into a permanent chip substrate below the photoresist. Throughout this process, the scanner precisely moves the wafer and the photomask helps build the design.",2024,$29.1 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N107,Imprint lithography,tool_resource,,,"Imprint lithography tools use physical templates to directly transfer nanoscale patterns onto wafers. Unlike traditional photolithography, imprint lithography does not rely on optical projection, enabling high-resolution patterning with minimal diffraction limits. Austrian firm EV Group and South Korean firm GigaLane are market leaders in imprint lithography.",2024,$29.5 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N20,EUV lithography tools,tool_resource,,,"EUV lithography tools are the most advanced photolithography equipment currently used in mass semiconductor production. They are the only tools combining leading-edge precision (by producing light with small wavelengths) with high throughput (by using photomasks), and are necessary for mass-producing the most advanced logic chips. They are exclusively produced by the Dutch firm ASML. A single EUV scanner costs well over $150 million, ships in 40 freight containers and contains about 100,000 individual parts.",2024,$9 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N21,ArF dry (DUV) lithography tools,tool_resource,,,ArF dry lithography scanners are advanced deep ultraviolet (DUV) photolithography tools used in high-volume semiconductor manufacturing. ArF dry lithography tools use 193 nm wavelength light from argon fluoride (ArF) lasers to pattern critical non-immersion layers in chip production. Only the Dutch firm ASML and the Japanese firm Nikon produce ArF lithography tools capable of mass production.,2024,$887.8 million (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N22,ArF immersion (DUV) lithography tools,tool_resource,,,ArF immersion lithography scanners are advanced deep ultraviolet (DUV) photolithography tools used in high-volume semiconductor manufacturing. ArF dry lithography tools use 193 nm wavelength light and a liquid medium to achieve high-resolution patterning for advanced semiconductors. EUV and ArF immersion scanners are the only lithography tools capable of mass-producing chips at near-cutting edge scale (the absolute cutting edge requires EUV). Only the Dutch firm ASML and the Japanese firm Nikon produce ArF scanners or ArF immersion scanners capable of mass production.,2024,$10.6 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N105,KrF (DUV) lithography tools,tool_resource,,,KrF lithography tools are deep ultraviolet (DUV) photolithography tools that use 248 nm wavelength light from krypton fluoride lasers to pattern semiconductor features for mature node semiconductors. Dutch firm ASML and Japanese firms Canon and Nikon dominate production.,2024,$2.7 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N106,i-line lithography tools,tool_resource,,,"i-line lithography tools are ultraviolet (UV) photolithography systems used in semiconductor manufacturing for mature process nodes. These tools use 365 nm wavelength light from mercury vapor lamps to pattern features down to about 350 nm, making them suitable for producing chips with less stringent resolution requirements. Japanese firms Canon and Nikon and Dutch firm ASML are the primary manufacturers of i-line lithography tools, but Chinese firm SMEE and US firm Veeco also hold a small portion of the market.",2024,$1.1 billion (2024),,"CSET analysis of TechInsights data (2024). Data used for analysis were published by TechInsights on May 5, 2025."
N25,Photolithography,process,Fabrication,S2,"In photolithography, light is used to draw patterns into semiconductor wafers, creating the tiny circuits that comprise logic chips. A photolithography tool passes light through a photomask-a transparent plate with a circuit pattern-to transfer that pattern to a wafer coated with photoresist chemical. (Photomasks are themselves made with lithography tools.) The light dissolves parts of the photoresist according to the circuit pattern.

Advanced photolithography is critical to mass production of cutting-edge semiconductors. It requires enormously complex, expensive equipment supplied by only a few vendors in Europe and Japan. The most sophisticated photolithography processes involve extreme ultraviolet (EUV) scanners, produced exclusively by the Dutch firm ASML.",,,,
