provider_name,provider_id,provider_type,country
USA,P1,country,
CHN,P2,country,
KOR,P4,country,
Various,P5,country,
JPN,P7,country,
TWN,P8,country,
Intel,P9,organization,United States
AMD,P10,organization,United States
Nvidia,P11,organization,United States
Jingjia Micro,P12,organization,China (mainland)
Loongson,P13,organization,China (mainland)
Zhaoxin,P14,organization,China (mainland)
Phytium,P15,organization,China (mainland)
Efinix,P16,organization,China (mainland)
HiSilicon,P17,organization,China (mainland)
Lattice,P18,organization,United States
Microchip,P19,organization,United States
Achronix,P20,organization,United States
Flex Logic,P21,organization,United States
Google,P22,organization,United States
Cerebras,P23,organization,United States
Tesla,P24,organization,United States
Graphcore,P25,organization,United Kingdom
Cambricon,P26,organization,China (mainland)
Horizon Robotics,P27,organization,China (mainland)
Intellifusion,P28,organization,China (mainland)
Gowin,P29,organization,China (mainland)
Shenzhen Pango,P30,organization,China (mainland)
Sunway,P31,organization,China (mainland)
DEU,P32,country,
ITA,P33,country,
TSMC,P34,organization,Taiwan
Samsung,P35,organization,South Korea
GlobalFoundries,P36,organization,United States
SMIC,P37,organization,China (mainland)
UMC,P38,organization,Taiwan
Powerchip,P39,organization,Taiwan
Hua Hong,P40,organization,China (mainland)
STMicroelectronics,P42,organization,Switzerland
NXP,P43,organization,Netherlands
Kioxia,P44,organization,Japan
NLD,P45,country,
MAL,P46,country,
SGP,P47,country,
ASE,P48,organization,Taiwan
Amkor,P49,organization,United States
JCET,P50,organization,China (mainland)
TongFu,P52,organization,China (mainland)
Tianshui Huatian Technology,P53,organization,China (mainland)
UTAC,P54,organization,Singapore
SK Hynix,P55,organization,South Korea
Micron,P56,organization,United States
Powertech,P57,organization,Taiwan
PVA TePla,P58,organization,Germany
JSG,P59,organization,China (mainland)
Accretech,P60,organization,Japan
Okamoto,P61,organization,Japan
Disco,P62,organization,Japan
Meyer Burger,P63,organization,Switzerland
Toyo,P64,organization,Japan
Lanzhou Rapid Equipment Manufacturing,P65,organization,China (mainland)
Beijing JingYi Century Automatic Equipment,P66,organization,China (mainland)
EV Group,P67,organization,Austria
SUSS MicroTec,P68,organization,Germany
Neutronix,P69,organization,United States
SMEE,P70,organization,China (mainland)
