provider_name,provider_id,provided_name,provided_id,share_provided,year,is_most_recent,source
ACM Research,P313,Wet etching and cleaning tools,N49,0.10696,2024,true,CSET analysis of TechInsights data
AMEC,P123,Insulator etching tools,N51,0.09725,2024,true,CSET analysis of TechInsights data
AMEC,P123,Etching tools (for adv. pkg.),N101,0.1812,2024,true,CSET analysis of TechInsights data
ASM International,P112,High-temperature CVD tools,N40,0.20541,2024,true,CSET analysis of TechInsights data
ASM International,P112,Atomic layer deposition tools,N41,0.52516,2024,true,CSET analysis of TechInsights data
ASM International,P112,Tube-based diffusion and deposition tools,N44,0.07018,2024,true,CSET analysis of TechInsights data
ASM International,P112,CVD tools (for adv. pkg.),N110,0.02832,2024,true,CSET analysis of TechInsights data
ASM Pacific,P145,PVD tools (for adv. pkg.),N111,0.03699,2024,true,CSET analysis of TechInsights data
ASM Pacific,P145,ECP tools (for adv. pkg.),N113,0.08212,2024,true,CSET analysis of TechInsights data
ASML,P88,i-line lithography tools,N106,0.35691,2024,true,CSET analysis of TechInsights data
ASML,P88,KrF (DUV) lithography tools,N105,0.79173,2024,true,CSET analysis of TechInsights data
ASML,P88,ArF dry (DUV) lithography tools,N21,0.94345,2024,true,CSET analysis of TechInsights data
ASML,P88,ArF immersion (DUV) lithography tools,N22,0.98669,2024,true,CSET analysis of TechInsights data
ASML,P88,Overlay metrology tools,N114,0.45104,2024,true,CSET analysis of TechInsights data
ASML,P88,E-beam metrology tools,N115,0.37587,2024,true,CSET analysis of TechInsights data
ASML,P88,EUV lithography tools,N20,1.0,2024,true,CSET analysis of TechInsights data
AUT,P80,Imprint Lithography,N107,0.87541,2024,true,CSET analysis of TechInsights data
AUT,P80,Wafer bonding and aligning tools,N10,0.55574,2024,true,CSET analysis of TechInsights data
AUT,P80,Mask Exposure Systems - E-Beam,N29,0.46436,2024,true,CSET analysis of TechInsights data
Accretech,P60,Crystal machining tools,N9,0.25462,2024,true,CSET analysis of TechInsights data
