input_id,Change needed?,Reorganized?,input_name,input_id,goes_into_name,goes_into_id,is_type_of_name,is_type_of_id
N8,,FALSE,Crystal growing furnaces,N8,Wafer production,N26,,
N9,,FALSE,Crystal machining tools,N9,Wafer production,N26,,
N20,Modified,FALSE,EUV lithography tools,N20,,,Lithography tools,N19
N21,Modified,FALSE,ArF dry (DUV) lithography tools,N21,,,Lithography tools,N19
N22,Modified,FALSE,ArF immersion (DUV) lithography tools,N22,,,Lithography tools,N19
N19,Modified,FALSE,Lithography tools,N19,Photolithography,N25,,
N17,"Modified, Needs Reorg",TRUE,Ion implantation,N17,Chemical mechanical planarization,N57,,
N28,"Modified, Needs Reorg",TRUE,Maskless lithography tools,N28,,,Lithography tools,N19
N29,Modified,FALSE,Mask Exposure Systems - E-Beam,N29,,,Maskless lithography tools,N28
N30,Modified,FALSE,Mask Exposure Systems - Laser Beam,N30,,,Maskless lithography tools,N28
N33,,FALSE,Advanced photomasks,N33,Photolithography,N25,,
N26,Needs Reorg,TRUE,Wafer production,N26,Deposition,N35,,
N31,,FALSE,Photoresists,N31,Photolithography,N25,,
N32,,FALSE,Resist processing tools,N32,Photolithography,N25,,
N36,,FALSE,Deposition tools,N36,Deposition,N35,,
N38,,FALSE,Plasma CVD tools,N38,,,Chemical vapor deposition tools,N47
N39,,FALSE,Low-pressure CVD tools,N39,,,Chemical vapor deposition tools,N47
N40,,FALSE,High-temperature CVD tools,N40,,,Chemical vapor deposition tools,N47
N41,,FALSE,Atomic layer deposition tools,N41,,,Chemical vapor deposition tools,N47
N42,,FALSE,Physical vapor deposition tools,N42,,,Deposition tools,N36
N43,,FALSE,Rapid thermal processing tools,N43,,,Deposition tools,N36
N44,,FALSE,Tube-based diffusion and deposition tools,N44,,,Deposition tools,N36
N45,Modified,FALSE,Electrochemical plating tools,N45,,,Deposition tools,N36
N35,,FALSE,Deposition,N35,Photolithography,N25,,
N25,,FALSE,Photolithography,N25,Etch and clean,N46,,
N47,,FALSE,Chemical vapor deposition tools,N47,,,Deposition tools,N36
N55,,FALSE,Etching and cleaning tools,N55,Etch and clean,N46,,
N48,,FALSE,Dry etching and cleaning tools,N48,,,Etching and cleaning tools,N55
N49,,FALSE,Wet etching and cleaning tools,N49,,,Etching and cleaning tools,N55
