input_name,input_id,image,caption,credit,offset
Logic chip design: Advanced CPUs,N1,51396070675_1a69e68d4e_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/49dfBBPxGKVjUakGciKYoA/lLkpKneCt6T7jSw9JqrIVYehPnJA7E2-5bvEFaqxJ-EUKiQJld4dFEOV7cOJhQq_dXlJtW9Xks0hhpO9FdRoicBGQYGZ1w1cOuAntldXummhRjcgdOq3c5R9u-DDUv074h2kf4ikPszYQ_BK8oZKaxTuZe1XYGZwScHPjo2CofI/AN3Xu0xgogPk1WOjb_ITCGSSqw7GZcQQ7bD3vaAImYo),"This AMD ""system on a chip"" device (SoC) includes an advanced, 7nm processor along with other types of components. The penny-size processor contains billions of transistors.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51396070675),25
Logic chip design: Discrete GPUs,N2,50914099198_c1e2037e4c_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/U3KgPUEY0MrCa3LXz8y5Yw/hZBMTGrBwy6MkqUMz6HhcpYrIJzNPUzFrWc2SZE8B2LF83vyvx2wrpp3drTk8VgoRtLkroKjh04bjX0IE8rEHOtan_PJ1JFAOZMyQXmex1INalITZ8EJVCBKyOTG74aJzuVycEYqXZcwpxKdpFMrNNteZdBZnGC8q85hEOULgQM/wFL18UPwoiAyJSPYTgdRbZglUUHFME2dZcdDMPtS1NE),"An Nvidia TU106 GPU, manufactured in Taiwan using a 12 nm production process. This chip packs billions of transistors into a space the size of a postage stamp.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/50914099198/),25
Logic chip design: FPGAs,N3,6526303987_e77da7ebed_o.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/mUi23KK77aE6vZg2ux9ILw/DYDr5dNDWlcA8oF9qRqdB7ZCoxq844xaUTmOoBg5Flpvqd-z2EnidJ-pOEVhec5xJAfbOvafCIBkrnzqFf05_Ha3rumIGMEmvTrkmHc1YnSMytCIeqKY-xY_rS-GsmVoQR60I7FeJUvP1J4ScigCczjZlQ_1RsRCqVzhsOb-OQo/z7byN3z4w9X7InHwevizMhQCjIs7a06imbCzgAzjF1Q),"An older FPGA produced by Xilinx, now a subsidiary of design giant AMD.",Flickr user [Uwe Hermann](https://www.flickr.com/photos/uwehermann/6526303987/) ([CC BY-SA 2.0](https://creativecommons.org/licenses/by-sa/2.0/)),15
Logic chip design: AI ASICs,N4,34209801284_6425b91023_o.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/6Ri8gVXB8o4ltLuJaxuZZQ/BiPzjwLafnR5RRcgvR00iNcOkrYCCndnI9KNKJ_youFLGYbBse5nU7GjOPvdO6-nCjrCTSXDCf_2Ub6EUf4fIMBnk4QIiwVPwCd7vv3g4k5lzDK_2iGUG8UINeJ4aSVS7ofFt2SAqye0zPQy6mq26LDPF-4JccIoTygn8hWr2H4/WX9DI5YMTR__86qkqQVpyQvt7QTx8OV4jtbRJByBOMM),"Nanoscale transistors observed with an electron microscope. Leading-edge chips, such as the latest AI ASICs, can pack tens of billions of these transistors into a device the size of a fingernail.",[IBM](https://www.flickr.com/photos/ibm_research_zurich/34209801284/) ([CC BY-ND 2.0](https://creativecommons.org/licenses/by-nd/2.0/)),0
Crystal growing furnaces,N8,Si-crystal_floatingzone_growing.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/xzqqShKTj4IUN4Db7iiKHQ/wYaYJtMSv4q-OWrNX1dpnY8UUWuCv-n8OxfdrLaoRsRLjhO93rAFTfpgoTEtf9lf3CuwDHS3Cu8Ns3yVvmD5iGiCIZ8bcRVrNUOGTk2Q_lKcsxYPoELyJIfF_HlHf00K36GYS6r_O3s6Ac_sb9tt2WenwrYn2kRH4SBfLlr9jac/55McUyyOj9Cscsx4DwY8hx8o0MM2DK7EWo42gfbTrUE),An ultra-pure silicon crystal is grown using the floating zone process.,Wikipedia user [Marathoni62](https://commons.wikimedia.org/wiki/File:Si-crystal_floatingzone_growing.jpg) ([CC BY-SA 3.0](https://creativecommons.org/licenses/by-sa/3.0)),38
Crystal machining tools,N9,9788999284_3757d33d81_o_d.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/ViFAgpT1WxuXp9PRw-sDHw/oZ9ZeKnKjqUqac1EyfxCPP4f15cih8XIJiXyNyPB9ZPZ6nc61vmaomNhll7i_xmGQk5dE4yvrTru8d3bmewGNqARCz--cRbmAK7ewT91tuSyh2fy-pOHZqpNhSCe2gy8-tUhcO0PIdM8OIvuEF6R-cmI-zIhGhL4fQlY1EygHbM/0CNQY0UIb_iIMKwiLEj96lrrCfSvgVD-4iHNwj0PLXU),Silicon wafers are inspected in a university lab.,United States Department of Energy,20
Wafer bonding and aligning tools,N10,UC_Davis_Cleanroom_(45490130562).jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/VJTjFtZ-JlhEiYykFbFiyA/Ud_Ja4tlmDYeAvkda5ACHUaZklqzqJ7gLHCE9ozm06fnDcX0p5dDnNV2GRwPYk077_D0OWi4v42uBR5jZHWdrc3IBe252qyWVucRCQbl6TVNRw3A_TyDE-1unjCznyLyN_HPP8sHm9Pi8Pfhzj1zSols_dBJS8eI6YHR-JvNy90/-dOpa_pkiGdWGUUP4mOmCm49QFU26_TvTPQzQ2PL00o),"A small-scale EV Group wafer bonder sits in a clean room at the University of California, Davis.","[Lucy Knowles/University of California, Davis](https://commons.wikimedia.org/wiki/File:UC_Davis_Cleanroom_(45490130562).jpg) ([CC BY 2.0](https://creativecommons.org/licenses/by/2.0))",25
Ion implanters,N17,3524974169_b40b2830e0_o.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/8nviY-P7n-JClCbENpjg8g/ApOcIndkP9YxEbjx1JmzDtQ9M2O5W-3giP66jKHGLtiCDg73YP3LYY2W16E7Q-NYiNClYN2qmHfugZFDBZPZap8DZio481_Iolq5NUPBY2903_CFl7vYWWQ_rIjKQNBHqjI_RDe3inmhnPGlloWu3nsL-BaVZ7mwD7NfErNlKsE/SYy-jfILf2LQiW-wf3FJS750QobYU4-GScTPfNcwGQQ),An ion implanter is operated in a research setting.,[Roy Kaltschmidt/Lawrence Berkeley National Laboratory](https://www.flickr.com/photos/berkeleylab/3524974169) ([CC BY-NC-ND 2.0](https://creativecommons.org/licenses/by-nc-nd/2.0/)),26
Advanced photolithography equipment,N19,51430260949_8599ddc51c_k.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/lPkovtyVLd72p5GIgs_mZA/EK9kQFlSXGnXJ8c6Z9R3CM3MhI4HI80bHVDcLRWBloHxFYXZcMdCJTWRYp1yibvtj8gUTXo2pEvXo-Agy1EfpKm-FjB0m3DKH4es7g0kgZ5azTrcawA9uzQ1LlMLK3YXlz-D1BnTBOvxt9IMjJAPjZjaagTi-eL7lWyb1iyt9rU/DeGDqG4klC-m7YMDT9ul_RIaelOBNOg-sLOkFOx7Myc),"Close-up of an AMD 7 nm ""system on a chip"" device. The penny-size processor contains billions of transistors. Producing chips like these requires photolithography equipment produced solely by Dutch and Japanese firms.",Flickr user [FritzchensFritz](https://www.flickr.com/photos/130561288@N04/51430260949),22
EUV scanners,N20,34209805784_e7f5524baa_o.jpg (https://v5.airtableusercontent.com/v3/u/40/40/1745280000000/G6lnrl4o1dlIa9BsSzzNIQ/34opZxg-kDw8A3cEs3loJaJRROO4QmVtDV0rv0M1BSU8Gjns2kXve8mvsFTeR4Sf4NO4ItPgHXiX3S2OkzX9fOmsnPpxfwGycHqspZlS3s7TpqfzuPSNH_y9gz2sIZap3c6DI4RXLOCXL_4oweQeGMNxarmlOEw4_HT0Nm7LgZs/_OmZhqXAe_DDaFY6FqazSbh_3uETYt5t8WWDccTTtyY),EUV lithography equipment in a research setting at the SUNY Polytechnic Institute.,[Dan Corliss/IBM Research](https://www.flickr.com/photos/ibm_research_zurich/34209805784/) ([CC BY-ND 2.0](https://creativecommons.org/licenses/by-nd/2.0/)),15
